premise,hypothesis,label
A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,neutral
A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,neutral
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,entailment
The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,neutral
The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,neutral
Two dogs are fighting,Two dogs are wrestling and hugging,neutral
A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,neutral
A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,neutral
Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,neutral
A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,neutral
A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,neutral
A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,entailment
A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,neutral
The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,neutral
Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,contradiction
Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,entailment
Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,neutral
Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,neutral
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,neutral
Three boys are jumping in the leaves,Three kids are jumping in the leaves,entailment
Three kids are sitting in the leaves,Three kids are jumping in the leaves,neutral
Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,neutral
Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,neutral
Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,neutral
Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,neutral
Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,neutral
Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,neutral
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,entailment
People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,neutral
People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,neutral
A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,neutral
A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,neutral
A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,neutral
People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,neutral
People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,neutral
A lone biker is jumping in the air,"A biker is jumping in the air, alone",entailment
There is no biker jumping in the air,A lone biker is jumping in the air,contradiction
A man is jumping into an empty pool,A man is jumping into a full pool,contradiction
A man is jumping into an empty pool,The man's jumper is in the empty pool,neutral
A lone biker is jumping in the air,A man is jumping into a full pool,neutral
The man's jumper is in the empty pool,A lone biker is jumping in the air,neutral
A lone biker is jumping in the air,A man is jumping into an empty pool,neutral
Four kids are doing backbends in the park,Four children are doing backbends in the park,entailment
Four children are doing backbends in the gym,Four children are doing backbends in the park,neutral
Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,entailment
A man who is playing is running with the ball in his hands,A player is running with the ball,entailment
Two groups of people are playing football,A player is running with the ball,neutral
Two teams are competing in a baseball game,A player is running with the ball,neutral
A player is running with the ball,Two teams are competing in a football match,neutral
Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,neutral
Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,contradiction
Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,neutral
Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,neutral
Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,neutral
An old man is sitting in a field,A man is sitting in a field,entailment
A man is sitting in a field,A man is running in a field,neutral
A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,neutral
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,neutral
A person is sitting and wearing a grass hat,A man is sitting in a field,neutral
A man is sitting in a field,A person is wearing a hat and is sitting on the grass,neutral
The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,entailment
A group of friends are riding the current in a raft,A group is not riding the current in a raft,contradiction
The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,neutral
A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,neutral
A deer is jumping over a fence,A deer isn't jumping over the fence,contradiction
People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,neutral
Several people are in front of a colorful building,Nobody is in front of the colorful building,contradiction
People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,neutral
People are walking outside the building that has several murals on it,Several people are in front of a colorful building,entailment
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,neutral
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,neutral
A child is missing a baseball,A family is watching a little boy who is hitting a baseball,neutral
A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,neutral
A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,neutral
A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,neutral
Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,neutral
A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,contradiction
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,contradiction
A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,entailment
There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,contradiction
A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,entailment
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,neutral
Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,neutral
Two dogs are playing by a tree,There is no dog leaping in the air,neutral
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,neutral
A girl in white is dancing,The dancer is dancing in front of the sound equipment,neutral
A girl in white is dancing,The blond girl is dancing behind the sound equipment,neutral
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,neutral
The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,neutral
Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,contradiction
Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,neutral
The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,neutral
The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,neutral
