premise,hypothesis,label
I learned how to play the board game.,My friend explained the rules to me.,entailment
The authorities vowed to protect the identity of the crime victim.,They withheld the victim's name from the public.,entailment
The woman tolerated her friend's difficult behavior.,The woman felt that her friend took advantage of her kindness.,not_entailment
The woman was mistaken for her sister.,The woman was close with her sister.,not_entailment
The woman was summoned for jury duty.,She contacted her lawyer.,not_entailment
The man caught his shirtsleeve on the rungs of the fence.,He hopped the fence.,not_entailment
The woman was mistaken for her sister.,The woman looked like her sister.,entailment
The woman visited her family.,She missed them.,entailment
The putrid odor filled the room.,I put the rubber gloves on.,not_entailment
I poured water on my sleeping friend.,My friend snored.,not_entailment
I approached the man.,He looked familiar.,entailment
The papers were disorganized.,I made photocopies of them.,not_entailment
We ordered a pizza.,The pizza got cold.,not_entailment
The woman felt reluctant to switch careers.,She made a lot of money in her current occupation.,entailment
My favorite song came on the radio.,I sang along to it.,entailment
The book was deemed inappropriate for children.,Teachers required students to read it.,not_entailment
The woman hired a lawyer.,She decided to run for office.,not_entailment
The man wanted to get revenge on his enemy.,The man framed his enemy for a crime.,entailment
The driver pulled over to the side of the road.,He noticed a stranded vehicle.,entailment
Air leaked out of the beach ball.,There was a hole in it.,entailment
The man lifted the heavy box.,He put out his back.,entailment
The group overlooked the woman's faux pas.,The woman was relieved.,entailment
I put shoes on.,The paint on the walls was wet.,not_entailment
The man had an attack of conscience.,He admitted his indiscretion.,entailment
The mother needed help looking after her children.,She sent the children to daycare.,entailment
The teacher took roll.,She identified the students that were absent.,entailment
The student received detention.,He talked back to the teacher.,entailment
The woman felt ashamed of scar on her face.,She explained the scar to strangers.,not_entailment
The pond froze over for the winter.,People skated on the pond.,entailment
The teenager grew taller than his father.,He went through a growth spurt.,entailment
I poured water on my sleeping friend.,My friend awoke.,entailment
The woman dangled the biscuit above the dog.,The dog jumped up.,entailment
The mother needed help looking after her children.,She gave up custody of the children.,not_entailment
The documents contained important information.,I kept them in a secure place.,entailment
The boaters set off a flare.,Their boat drifted to shore.,not_entailment
It got dark outside.,Snowflakes began to fall from the sky.,not_entailment
The boy tuned the radio.,The station was playing rock music.,not_entailment
The physician misdiagnosed the patient.,The patient filed a malpractice lawsuit against the physician.,entailment
The woman repaired her faucet.,The faucet was leaky.,entailment
The friends' debate dragged on interminably.,The friends saw eye to eye.,not_entailment
The man made an error in his calculations.,He checked his work.,not_entailment
The cup of tea was scalding hot.,I blew on it.,entailment
The leader received praise.,He fought poverty.,entailment
The baby was wailing in his crib.,The mother picked up the baby.,entailment
A water pipe in the house burst.,The pipe froze.,entailment
The fugitive hid from the police.,The police dropped the case.,not_entailment
The man read the cartoon in the newspaper.,He sipped coffee.,not_entailment
I drank from the water fountain.,I was thirsty.,entailment
The man read the cartoon in the newspaper.,He chuckled.,entailment
My friend paid for my ticket.,I sought a refund.,not_entailment
The smoke alarm went off.,I burnt my dinner.,entailment
My foot went numb.,I shook my foot.,entailment
The boy wanted to be muscular.,He played computer games.,not_entailment
I came upon a puddle on the sidewalk.,I played in the puddle.,not_entailment
The woman had a religious awakening.,She began going to church.,entailment
I planted the seeds in the soil.,The seeds sprouted.,entailment
The bartender refused to serve the patron.,The patron was drunk.,entailment
My car was towed.,I jumped the battery.,not_entailment
I put ice cubes in the hot soup.,The soup cooled down.,entailment
The woman filed a restraining order against the man.,The man stalked her.,entailment
The hunter ran out of ammunition.,He aimed at the deer.,not_entailment
My grandmother passed away.,My family held a reunion.,not_entailment
The rocket flew up into the sky.,The girl designed it.,not_entailment
The skunk sprayed the dog.,The skunk roamed the woods.,not_entailment
The service at the restaurant was slow.,There were many empty tables.,not_entailment
I put ice cubes in the hot soup.,The soup became thick.,not_entailment
The employee missed work.,There was a death in her family.,entailment
