premise,hypothesis,label
Girl in black jacket sifting powdered sugar over a chocolate cake.,The girl is preparing a chocolate cake.,entailment
Girl in black jacket sifting powdered sugar over a chocolate cake.,The chocolate cake is for a group of people to eat.,neutral
Girl in black jacket sifting powdered sugar over a chocolate cake.,The girl in a black jacket puts chocolate cake batter into the oven to bake.,contradiction
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,Two people are at working on the conveyor.,entailment
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,The conveyor carries cartons of crayons.,neutral
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,An American and an Hispanic worked at the clothing store.,neutral
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The man is walking.,entailment
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The space spy ignores his parking tickets.,contradiction
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The spaceship of the future is only available in blue.,contradiction
A group of youths march down the street waving flags showing the color spectrum.,The youth are outside.,entailment
A group of youths march down the street waving flags showing the color spectrum.,The youth are LGBT.,neutral
A group of youths march down the street waving flags showing the color spectrum.,The youth are sleeping.,contradiction
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,A samurai is training outside,entailment
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,A warrior prepares to fight an enemy.,neutral
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,The civil war general rears back on his horse.,contradiction
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,Kids are seen playing near a mound of dirt,neutral
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,The kids are near a construction site.,neutral
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,Kids riding in a car in a field.,contradiction
An Asian couple walks in the shopping district.,People are strolling.,entailment
An Asian couple walks in the shopping district.,Two people are holding hands.,neutral
An Asian couple walks in the shopping district.,Two people are running through a forest.,contradiction
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Some beings looking.,neutral
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Tall beings looking.,contradiction
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Nothing is looking.,contradiction
Stevedores are waiting for a boat to dock.,Some people are at a dock.,entailment
Stevedores are waiting for a boat to dock.,Some men are preparing to unload to upcoming ship.,neutral
Stevedores are waiting for a boat to dock.,A man has fallen in the water.,neutral
A girl in red short and a white T-shirt underground looking out of a hole.,A person looking out of a hole.,entailment
A girl in red short and a white T-shirt underground looking out of a hole.,A person wearing an american shirt looking out of a hole.,neutral
A girl in red short and a white T-shirt underground looking out of a hole.,A person wearing all black looking into a hole.,contradiction
Someone working on a project using a jigsaw cutting machine.,Someone is using a saw,entailment
Someone working on a project using a jigsaw cutting machine.,A woman is cutting wood.,neutral
Someone working on a project using a jigsaw cutting machine.,Someone is baking a cake.,contradiction
A woman in a green shirt is working on a horse's hoof.,A lady is working on an animal.,entailment
A woman in a green shirt is working on a horse's hoof.,A lady is wearing green for a special cause.,neutral
A woman in a green shirt is working on a horse's hoof.,A woman is riding an elephant.,neutral
A baby wearing a green bib with a frog on it is crying.,a baby is sad,neutral
A baby wearing a green bib with a frog on it is crying.,a baby is hungry,neutral
A baby wearing a green bib with a frog on it is crying.,a baby is smoking a cigarette,neutral
An elderly woman places carrots into a casserole.,An elderly woman puts carrots into a casserole,entailment
An elderly woman places carrots into a casserole.,An elderly woman slices carrots for a casserole,neutral
An elderly woman places carrots into a casserole.,An elderly woman puts beets into a casserole,neutral
Three men are setting up a sledge on a snowy plain.,People want to use a sledge.,neutral
Three men are setting up a sledge on a snowy plain.,People are ready to go down hill on snow.,neutral
Three men are setting up a sledge on a snowy plain.,Men are running on sand.,contradiction
Man using a sander to remove rust of metal.,The man is working on the metal.,entailment
Man using a sander to remove rust of metal.,The man is restoring a car.,neutral
Man using a sander to remove rust of metal.,The man is painting his shed.,neutral
"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group of people sit around a laptop,entailment
"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group of people wearing business suits are sitting in a semicircle around a blue laptop.,neutral
"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group of employees are sitting around a conference table.,neutral
A group of restaurant workers and a large copper bowl.,A group of restaurant workers and a large bowl,entailment
A group of restaurant workers and a large copper bowl.,A large group of restaurant workers and a large copper bowl,neutral
A group of restaurant workers and a large copper bowl.,A single restaurant worker and a large copper bowl,contradiction
Two young male hikers using a map and compass to find their direction in the woods.,People in the woods using a map.,entailment
Two young male hikers using a map and compass to find their direction in the woods.,Hikers in Muir Woods using a map.,neutral
Two young male hikers using a map and compass to find their direction in the woods.,People on a city street using a map.,contradiction
Two men take measurements of a wall at an open construction site.,A construction worker takes measurements of the wall.,entailment
Two men take measurements of a wall at an open construction site.,A construction worker takes measurements of the wall at an closed construction site.,neutral
Two men take measurements of a wall at an open construction site.,No one is working,contradiction
Two men practicing MMA submission holds,Two men practice.,entailment
Two men practicing MMA submission holds,Two men practice wrestling.,entailment
Two men practicing MMA submission holds,Two men practice dancing.,contradiction
"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.","Three humans are in an office, and all have different clothes on.",entailment
"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.",The three people are talking as they work in the office.,neutral
"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.",Three people all wearing the same outfit are lying around in a nice clean car.,contradiction
Two emergency responders are at the scene of an incident.,The emergency responders are on the scene.,entailment
Two emergency responders are at the scene of an incident.,The emergency responders are at a car accident.,neutral
Two emergency responders are at the scene of an incident.,The emergency responders are not at the incident.,contradiction
