premise,hypothesis,label
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,entailment
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,entailment
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,not_entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",not_entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,not_entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,not_entailment
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,not_entailment
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,entailment
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,not_entailment
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,not_entailment
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,not_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,not_entailment
I poured water from the bottle into the cup until it was empty.,The cup was empty.,not_entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,entailment
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,not_entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",not_entailment
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,not_entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,not_entailment
I put the butterfly wing on the table and it broke.,The table broke.,not_entailment
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,not_entailment
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,not_entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,not_entailment
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,not_entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,not_entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,entailment
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",entailment
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,not_entailment
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,entailment
