premise,hypothesis,label
4615316828jpg1Very young girl holding a spoon in a restaurant setting 4615316828jpg2A child holding a white plastic spoon 4615316828jpg3A child smiling as he holds his spoon 4615316828jpg4A toddler plays with his food,Toddler sitting,entailment
3410629379jpg0Man driving a moped with a side care with a Jeepney in the background 3410629379jpg1A young man drives a motorcycle taxi through the streets 3410629379jpg3A road scene with a van and a man driving 3410629379jpg4A bike taxi rides down the road,A man driving a wheeled motorbike,entailment
4357165525jpg0An old man and a child walk together along a pathway near a building 4357165525jpg2A man with a cane and a boy are walking on a sidewalk 4357165525jpg3Grandfather and grandchild walking down a path 4357165525jpg4Two males walking away from a bench,A couple having a good time,contradiction
3420309744jpg0Several individuals are watching a man in a red sweater play a game of golf 3420309744jpg2The crowd looks on as a man with a red argyle sweater plays golf 3420309744jpg3Spectators are watching a pro golfing tournament 3420309744jpg4A man is swinging his club in a game of golf,A golfer takes a swing,entailment
471453231jpg0Two women are looking very confused trying to put together an item from the box 471453231jpg1Two ladies are sitting on a back deck with a dog in between each other 471453231jpg3Two women unpacking something from a box 471453231jpg4Two women sitting on a deck,Woman opening a package,contradiction
38319365jpg1A man helping a woman fix her fishing pole out by what appears to be a lake with a little girl playing next to the small foldable chairs 38319365jpg2A man sits at the shore and attends to a fishing rod while a woman and young girl stand next to him 38319365jpg3A man helps a woman with her fishing pole next to a lake 38319365jpg4A father helps to ready the line for fishing,A man baits a hook,entailment
3517056462jpg0A girl wearing the number one LaFayette softball uniform is about to throw the ball 3517056462jpg1A girl in a baseball uniform getting ready to throw the ball at a game 3517056462jpg2The girl is in a red jersey and pitching a softball at a game 3517056462jpg3A female softball player pitches the ball,Pitcher pitching,entailment
2868324804jpg0Three girls run on a grassy field with a building in the background 2868324804jpg1Three girls are running on a field in front of a fence 2868324804jpg3Three little girls run on a soccer field 2868324804jpg4Three girls run in a field outside,Children running across a field,entailment
503872649jpg0Adult woman wearing a white wedding dress is standing close to a woman wearing a dark purple suit coat white blouse and a dark dress talking on her cellphone and touching a basket holding a bouquet of flowers 503872649jpg1A woman with a basket of flowers talks on the phone next to a woman in a wedding dress 503872649jpg2Woman in Wedding dress with a friend and basket of flowers on a street corner 503872649jpg4A large and unhappy woman is in a wedding dress in town,A bride stands,entailment
2774554340jpg0Two young men one wearing a blue shirt one wearing a white shirt are sitting in a vehicle and laughing 2774554340jpg1Two men sit inside a car facing each other and smiling 2774554340jpg2Two men in a vehicle smiling at one another 2774554340jpg4Two guys smiling as they sit in a vehicle,Men talking,entailment
2609900643jpg0A little girl with a yellow shirt swings while a little girl in green watches 2609900643jpg1A young girl wearing a yellow shirt swings on a tree rope 2609900643jpg3The small girl is swinging on the rope 2609900643jpg4A girl swings on a rope swing,Another child watches,entailment
158093226jpg0A balding man in a dark suit and maroon tie with a mustache and beard plays bagpipes as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out 158093226jpg1A guy is playing the bagpipes while standing next to a woman in a light blue outfit with her belly button showing 158093226jpg2A man in a suit is playing bagpipes next to a young blond woman who has her abdomen exposed 158093226jpg3A guy in a suit playing bagpipes next to a girl wearing teal clothing,A well dressed man playing instruments,entailment
3833511502jpg1The bank teller is waiting for a customer 3833511502jpg2A man is sitting at a desk behind glass 3833511502jpg3A bank teller standing at a counter 3833511502jpg4Teller working at a bank,A man holds a pencil,neutral
7663002978jpg0A man wearing a London 2012 jersey is running in front of a brick building and past a crowd carrying a torch 7663002978jpg1Torchbearing runner about to be photographed by onlooker enjoys the smiles and shouts of the crowd 7663002978jpg3A man carrying an Olympic torch with a brick building in the background 7663002978jpg4An Olympic Marathon Event with the locals,A crowd waving the flag,neutral
428980399jpg0A blackhaired female guitarist and a male drummer are playing in a large tent 428980399jpg1A drummer is playing in front of a sign that says SXSWO in a tent 428980399jpg3Band playing with a female lead singer 428980399jpg4A man in a green shirt playing drums,A musician plays music,entailment
3206326389jpg0A group of five women with scarf head coverings look off the page while two have their mouths open as if yelling something 3206326389jpg1Women in headwraps are gathered together speaking emotionally 3206326389jpg2Five women wearing scarves on their heads are talking 3206326389jpg4A group of women wearing headscarves are in a crowd,Women standing,neutral
2322820623jpg0A group of kids around college age sitting around in a house with a board game on the wooden coffee table 2322820623jpg1A group of six people relaxing in the living room and playing a board game 2322820623jpg2Six people four male and two female hanging out in a living room 2322820623jpg4A group of people hanging out and playing a board game,Family having fun,neutral
